object,affordances
microwave,support
microwave,vertical-support
microwave,heat
oven,assisted-carry
oven,contain
oven,rotate
oven,push
oven,pull
oven,open
oven,close
oven,support
oven,heat
oven,heat-resistance
stove,assisted-carry
stove,rotate
stove,push
stove,pull
stove,support
stove,heat
plant,grasp
plant,carry
plant,rotate
plant,push
plant,pull
watering_can,grasp
watering_can,carry
watering_can,contain
watering_can,liquid-contain
watering_can,pour
watering_can,precise-pour
watering_can,rotate
watering_can,push
watering_can,pull
apple,grasp
apple,carry
apple,rotate
apple,push
apple,pull
apple,consumable
apple,axis-roll
apple,free-roll
banana,grasp
banana,carry
banana,rotate
banana,push
banana,pull
banana,consumable
salad,grasp
salad,carry
salad,rotate
salad,push
salad,pull
salad,consumable
salad,axis-roll
salad,free-roll
orange,grasp
orange,carry
orange,rotate
orange,push
orange,pull
orange,consumable
orange,axis-roll
orange,free-roll
tomato,grasp
tomato,carry
tomato,rotate
tomato,push
tomato,pull
tomato,consumable
tomato,axis-roll
tomato,free-roll
cucumber,grasp
cucumber,carry
cucumber,rotate
cucumber,push
cucumber,pull
cucumber,consumable
cucumber,axis-roll
milk_cartoon,grasp
milk_cartoon,carry
milk_cartoon,contain
milk_cartoon,liquid-contain
milk_cartoon,enclosed-contain
milk_cartoon,pour
milk_cartoon,precise-pour
milk_cartoon,drink
milk_cartoon,rotate
milk_cartoon,push
milk_cartoon,pull
milk_cartoon,open
milk_cartoon,close
milk_cartoon,stack
cornflakes,grasp
cornflakes,carry
cornflakes,rotate
cornflakes,push
cornflakes,pull
cornflakes,consumable
tape,grasp
tape,carry
tape,rotate
tape,axis-roll
tape,push
tape,pull
tape,stack
tape,contact-connect
hammer,grasp
hammer,carry
hammer,rotate
hammer,push
hammer,pull
hammer,hit
hammer,pound
screw,grasp
screw,carry
screw,rotate
screw,axis-roll
screw,push
screw,pull
screw,contact-connect
screw,pierce
nail,grasp
nail,carry
nail,rotate
nail,axis-roll
nail,push
nail,pull
nail,contact-connect
nail,pierce
stapler,grasp
stapler,carry
stapler,rotate
stapler,push
stapler,pull
stapler,contact-connect
stapler,pierce
book,grasp
book,carry
book,rotate
book,push
book,pull
book,support
book,stack
remote,grasp
remote,carry
remote,rotate
remote,push
remote,pull
chair,grasp
chair,carry
chair,assisted-carry
chair,rotate
chair,push
chair,pull
chair,support
chair,stack
chair,vertical-support
desk,assisted-carry
desk,rotate
desk,push
desk,pull
desk,support
desk,vertical-support
monitor,carry
monitor,assisted-carry
monitor,rotate
monitor,push
monitor,pull
pc,carry
pc,assisted-carry
pc,rotate
pc,push
pc,pull
pc,support
keyboard,grasp
keyboard,carry
keyboard,rotate
keyboard,push
keyboard,pull
keyboard,stack
screwdriver,grasp
screwdriver,carry
screwdriver,rotate
screwdriver,axis-roll
screwdriver,push
screwdriver,pull
screwdriver,pierce
sponge,grasp
sponge,carry
sponge,rotate
sponge,push
sponge,pull
sponge,stack
sponge,wet-swipe
cloth,grasp
cloth,carry
cloth,rotate
cloth,push
cloth,pull
cloth,dry-swipe
cloth,wet-swipe
cloth,stack
cloth,axis-roll
broom,grasp
broom,carry
broom,rotate
broom,push
broom,pull
broom,dry-swipe
hand_brush,grasp
hand_brush,carry
hand_brush,rotate
hand_brush,push
hand_brush,pull
hand_brush,dry-swipe
towel,grasp
towel,carry
towel,rotate
towel,push
towel,pull
towel,wet-swipe
towel,stack
towel,axis-roll
paper_towel,grasp
paper_towel,carry
paper_towel,rotate
paper_towel,wet-swipe
paper_towel,stack
paper_towel,axis-roll
paper_towel,push
paper_towel,pull
pan,grasp
pan,carry
pan,contain
pan,liquid-contain
pan,rotate
pan,push
pan,pull
pan,support
pan,heat-resistance
pan,stack
pot,grasp
pot,carry
pot,contain
pot,liquid-contain
pot,pour
pot,rotate
pot,push
pot,pull
pot,heat-resistance
pot,open
pot,close
pot,stack
box,grasp
box,carry
box,assisted-carry
box,contain
box,enclosed-contain
box,rotate
box,push
box,pull
box,open
box,close
box,stack
box,support
box,vertical-support
door,grasp
door,constrained-move
door,rotate
door,push
door,pull
door,open
door,close
door,vertical-support
window,grasp
window,constrained-move
window,rotate
window,push
window,pull
window,open
window,close
bench,assisted-carry
bench,rotate
bench,push
bench,pull
bench,support
bench,vertical-support
couch,assisted-carry
couch,rotate
couch,push
couch,pull
couch,support
couch,vertical-support
stool,grasp
stool,carry
stool,assisted-carry
stool,rotate
stool,push
stool,pull
stool,support
stool,stack
refrigerator,assisted-carry
refrigerator,contain
refrigerator,push
refrigerator,pull
refrigerator,open
refrigerator,close
refrigerator,support
refrigerator,vertical-support
refrigerator,rotate
tablet,grasp
tablet,carry
tablet,rotate
tablet,push
tablet,pull
tablet,support
mop,grasp
mop,carry
mop,rotate
mop,push
mop,pull
mop,wet-swipe
tissue,grasp
tissue,carry
tissue,rotate
tissue,push
tissue,pull
tissue,wet-swipe
tissue,stack
tissue,axis-roll
tea_pot,grasp
tea_pot,carry
tea_pot,contain
tea_pot,liquid-contain
tea_pot,pour
tea_pot,precise-pour
tea_pot,rotate
tea_pot,push
tea_pot,pull
tea_pot,open
tea_pot,close
vase,grasp
vase,carry
vase,contain
vase,liquid-contain
vase,pour
vase,rotate
vase,push
vase,pull
