object,affordances
Basket,push
Basket,pull
Basket,stack
Sink,contain
Sink,liquid-contain
Sink,support
Dishwasher,assisted-carry
Dishwasher,contain
Dishwasher,liquid-contain
Dishwasher,constrained-move
Dishwasher,push
Dishwasher,pull
Dishwasher,open
Dishwasher,close
Dishwasher,support
Microwave,carry
Microwave,assisted-carry
Microwave,contain
Microwave,rotate
Microwave,push
Microwave,pull
Microwave,open
Microwave,close
Microwave,support
Microwave,vertical-support
Microwave,heat
Oven,assisted-carry
Oven,contain
Oven,rotate
Oven,push
Oven,pull
Oven,open
Oven,close
Oven,support
Oven,heat
Oven,heat-resistance
Stove,assisted-carry
Stove,rotate
Stove,push
Stove,pull
Stove,support
Stove,heat
Plant,grasp
Plant,carry
Plant,rotate
Plant,push
Plant,pull
Watering Can,grasp
Watering Can,carry
Watering Can,contain
Watering Can,liquid-contain
Watering Can,pour
Watering Can,precise-pour
Watering Can,rotate
Watering Can,push
Watering Can,pull
Apple,grasp
Apple,carry
Apple,rotate
Apple,push
Apple,pull
Apple,consumable
Apple,axis-roll
Apple,free-roll
Banana,grasp
Banana,carry
Banana,rotate
Banana,push
Banana,pull
Banana,consumable
Salad,grasp
Salad,carry
Salad,rotate
Salad,push
Salad,pull
Salad,consumable
Salad,axis-roll
Salad,free-roll
Orange,grasp
Orange,carry
Orange,rotate
Orange,push
Orange,pull
Orange,consumable
Orange,axis-roll
Orange,free-roll
Tomato,grasp
Tomato,carry
Tomato,rotate
Tomato,push
Tomato,pull
Tomato,consumable
Tomato,axis-roll
Tomato,free-roll
Cucumber,grasp
Cucumber,carry
Cucumber,rotate
Cucumber,push
Cucumber,pull
Cucumber,consumable
Cucumber,axis-roll
Milk Cartoon,grasp
Milk Cartoon,carry
Milk Cartoon,contain
Milk Cartoon,liquid-contain
Milk Cartoon,enclosed-contain
Milk Cartoon,pour
Milk Cartoon,precise-pour
Milk Cartoon,drink
Milk Cartoon,rotate
Milk Cartoon,push
Milk Cartoon,pull
Milk Cartoon,open
Milk Cartoon,close
Milk Cartoon,stack
Cornflakes,grasp
Cornflakes,carry
Cornflakes,rotate
Cornflakes,push
Cornflakes,pull
Cornflakes,consumable
Tape,grasp
Tape,carry
Tape,rotate
Tape,axis-roll
Tape,push
Tape,pull
Tape,stack
Tape,contact-connect
Hammer,grasp
Hammer,carry
Hammer,rotate
Hammer,push
Hammer,pull
Hammer,hit
Hammer,pound
Screw,grasp
Screw,carry
Screw,rotate
Screw,axis-roll
Screw,push
Screw,pull
Screw,contact-connect
Screw,pierce
Nail,grasp
Nail,carry
Nail,rotate
Nail,axis-roll
Nail,push
Nail,pull
Nail,contact-connect
Nail,pierce
Stapler,grasp
Stapler,carry
Stapler,rotate
Stapler,push
Stapler,pull
Stapler,contact-connect
Stapler,pierce
Book,grasp
Book,carry
Book,rotate
Book,push
Book,pull
Book,support
Book,stack
Remote,grasp
Remote,carry
Remote,rotate
Remote,push
Remote,pull
Chair,grasp
Chair,carry
Chair,assisted-carry
Chair,rotate
Chair,push
Chair,pull
Chair,support
Chair,stack
Chair,vertical-support
Desk,assisted-carry
Desk,rotate
Desk,push
Desk,pull
Desk,support
Desk,vertical-support
Monitor,carry
Monitor,assisted-carry
Monitor,rotate
Monitor,push
Monitor,pull
PC,carry
PC,assisted-carry
PC,rotate
PC,push
PC,pull
PC,support
Keyboard,grasp
Keyboard,carry
Keyboard,rotate
Keyboard,push
Keyboard,pull
Keyboard,stack
Screwdriver,grasp
Screwdriver,carry
Screwdriver,rotate
Screwdriver,axis-roll
Screwdriver,push
Screwdriver,pull
Screwdriver,pierce
Sponge,grasp
Sponge,carry
Sponge,rotate
Sponge,push
Sponge,pull
Sponge,stack
Sponge,wet-swipe
Cloth,grasp
Cloth,carry
Cloth,rotate
Cloth,push
Cloth,pull
Cloth,dry-swipe
Cloth,wet-swipe
Cloth,stack
Cloth,axis-roll
Broom,grasp
Broom,carry
Broom,rotate
Broom,push
Broom,pull
Broom,dry-swipe
Hand Brush,grasp
Hand Brush,carry
Hand Brush,rotate
Hand Brush,push
Hand Brush,pull
Hand Brush,dry-swipe
Towel,grasp
Towel,carry
Towel,rotate
Towel,push
Towel,pull
Towel,wet-swipe
Towel,stack
Towel,axis-roll
Paper Towel,grasp
Paper Towel,carry
Paper Towel,rotate
Paper Towel,wet-swipe
Paper Towel,stack
Paper Towel,axis-roll
Paper Towel,push
Paper Towel,pull
Pan,grasp
Pan,carry
Pan,contain
Pan,liquid-contain
Pan,rotate
Pan,push
Pan,pull
Pan,support
Pan,heat-resistance
Pan,stack
Pot,grasp
Pot,carry
Pot,contain
Pot,liquid-contain
Pot,pour
Pot,rotate
Pot,push
Pot,pull
Pot,heat-resistance
Pot,open
Pot,close
Pot,stack
Box,grasp
Box,carry
Box,assisted-carry
Box,contain
Box,enclosed-contain
Box,rotate
Box,push
Box,pull
Box,open
Box,close
Box,stack
Box,support
Box,vertical-support
Door,grasp
Door,constrained-move
Door,rotate
Door,push
Door,pull
Door,open
Door,close
Door,vertical-support
Window,grasp
Window,constrained-move
Window,rotate
Window,push
Window,pull
Window,open
Window,close
Bench,assisted-carry
Bench,rotate
Bench,push
Bench,pull
Bench,support
Bench,vertical-support
Couch,assisted-carry
Couch,rotate
Couch,push
Couch,pull
Couch,support
Couch,vertical-support
Stool,grasp
Stool,carry
Stool,assisted-carry
Stool,rotate
Stool,push
Stool,pull
Stool,support
Stool,stack
Refrigerator,assisted-carry
Refrigerator,contain
Refrigerator,push
Refrigerator,pull
Refrigerator,open
Refrigerator,close
Refrigerator,support
Refrigerator,vertical-support
Refrigerator,rotate
Tablet,grasp
Tablet,carry
Tablet,rotate
Tablet,push
Tablet,pull
Tablet,support
Mop,grasp
Mop,carry
Mop,rotate
Mop,push
Mop,pull
Mop,wet-swipe
Tissue,grasp
Tissue,carry
Tissue,rotate
Tissue,push
Tissue,pull
Tissue,wet-swipe
Tissue,stack
Tissue,axis-roll
Tea Pot,grasp
Tea Pot,carry
Tea Pot,contain
Tea Pot,liquid-contain
Tea Pot,pour
Tea Pot,precise-pour
Tea Pot,rotate
Tea Pot,push
Tea Pot,pull
Tea Pot,open
Tea Pot,close
Vase,grasp
Vase,carry
Vase,contain
Vase,liquid-contain
Vase,pour
Vase,rotate
Vase,push
Vase,pull
